Total T: 16001 Episode Num: 64 Episode T: 250 Reward: 43.527|A_Loss: -6.349|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 16251 Episode Num: 65 Episode T: 250 Reward: 40.661|A_Loss: -6.369|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 16501 Episode Num: 66 Episode T: 250 Reward: 49.255|A_Loss: -6.383|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 16751 Episode Num: 67 Episode T: 250 Reward: 42.134|A_Loss: -6.399|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 17001 Episode Num: 68 Episode T: 250 Reward: 44.559|A_Loss: -6.415|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 17251 Episode Num: 69 Episode T: 250 Reward: 40.126|A_Loss: -6.430|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 17501 Episode Num: 70 Episode T: 250 Reward: 45.165|A_Loss: -6.445|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 17751 Episode Num: 71 Episode T: 250 Reward: 38.813|A_Loss: -6.451|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 18001 Episode Num: 72 Episode T: 250 Reward: 48.797|A_Loss: -6.460|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 18251 Episode Num: 73 Episode T: 250 Reward: 45.879|A_Loss: -6.481|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 18501 Episode Num: 74 Episode T: 250 Reward: 44.098|A_Loss: -6.496|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 18751 Episode Num: 75 Episode T: 250 Reward: 43.684|A_Loss: -6.512|C_Loss: 0.003|T_Loss: -0.000|T: 0.001
Total T: 19001 Episode Num: 76 Episode T: 250 Reward: 45.504|A_Loss: -6.525|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 19251 Episode Num: 77 Episode T: 250 Reward: 44.758|A_Loss: -6.537|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 19501 Episode Num: 78 Episode T: 250 Reward: 40.928|A_Loss: -6.540|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 19751 Episode Num: 79 Episode T: 250 Reward: 40.312|A_Loss: -6.550|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 20001 Episode Num: 80 Episode T: 250 Reward: 43.561|A_Loss: -6.561|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Best model saved
-------------------------------------------------
Evaluation over 10 episodes: 45.396, minimum reward: 39.431, Curriculum: True
-------------------------------------------------
Current power: 1.000
Total T: 20251 Episode Num: 81 Episode T: 250 Reward: 46.374|A_Loss: -6.564|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 20501 Episode Num: 82 Episode T: 250 Reward: 50.418|A_Loss: -6.571|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 20751 Episode Num: 83 Episode T: 250 Reward: 44.417|A_Loss: -6.585|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 21001 Episode Num: 84 Episode T: 250 Reward: 46.787|A_Loss: -6.591|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 21251 Episode Num: 85 Episode T: 250 Reward: 43.929|A_Loss: -6.606|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 21501 Episode Num: 86 Episode T: 250 Reward: 46.035|A_Loss: -6.615|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 21751 Episode Num: 87 Episode T: 250 Reward: 54.227|A_Loss: -6.621|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 22001 Episode Num: 88 Episode T: 250 Reward: 48.253|A_Loss: -6.624|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 22251 Episode Num: 89 Episode T: 250 Reward: 44.339|A_Loss: -6.638|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 22501 Episode Num: 90 Episode T: 250 Reward: 35.239|A_Loss: -6.637|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 22751 Episode Num: 91 Episode T: 250 Reward: 44.935|A_Loss: -6.638|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 23001 Episode Num: 92 Episode T: 250 Reward: 54.541|A_Loss: -6.644|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 23251 Episode Num: 93 Episode T: 250 Reward: 40.823|A_Loss: -6.655|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 23501 Episode Num: 94 Episode T: 250 Reward: 36.974|A_Loss: -6.642|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 23751 Episode Num: 95 Episode T: 250 Reward: 44.664|A_Loss: -6.647|C_Loss: 0.004|T_Loss: 0.000|T: 0.001
Total T: 24001 Episode Num: 96 Episode T: 250 Reward: 46.226|A_Loss: -6.658|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 24251 Episode Num: 97 Episode T: 250 Reward: 44.640|A_Loss: -6.655|C_Loss: 0.004|T_Loss: -0.000|T: 0.001
Total T: 24501 Episode Num: 98 Episode T: 250 Reward: 44.931|A_Loss: -6.665|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 24751 Episode Num: 99 Episode T: 250 Reward: 41.544|A_Loss: -6.662|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 25001 Episode Num: 100 Episode T: 250 Reward: 42.862|A_Loss: -6.658|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 25251 Episode Num: 101 Episode T: 250 Reward: 48.876|A_Loss: -6.661|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 25501 Episode Num: 102 Episode T: 250 Reward: 44.048|A_Loss: -6.665|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 25751 Episode Num: 103 Episode T: 250 Reward: 44.305|A_Loss: -6.653|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 26001 Episode Num: 104 Episode T: 250 Reward: 46.341|A_Loss: -6.660|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 26251 Episode Num: 105 Episode T: 250 Reward: 45.965|A_Loss: -6.657|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 26501 Episode Num: 106 Episode T: 250 Reward: 40.008|A_Loss: -6.658|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 26751 Episode Num: 107 Episode T: 250 Reward: 49.247|A_Loss: -6.659|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 27001 Episode Num: 108 Episode T: 250 Reward: 42.237|A_Loss: -6.658|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 27251 Episode Num: 109 Episode T: 250 Reward: 45.508|A_Loss: -6.658|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 27501 Episode Num: 110 Episode T: 250 Reward: 46.306|A_Loss: -6.655|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 27751 Episode Num: 111 Episode T: 250 Reward: 44.579|A_Loss: -6.657|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 28001 Episode Num: 112 Episode T: 250 Reward: 50.744|A_Loss: -6.662|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 28251 Episode Num: 113 Episode T: 250 Reward: 44.330|A_Loss: -6.658|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 28501 Episode Num: 114 Episode T: 250 Reward: 47.568|A_Loss: -6.665|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 28751 Episode Num: 115 Episode T: 250 Reward: 51.267|A_Loss: -6.666|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 29001 Episode Num: 116 Episode T: 250 Reward: 39.867|A_Loss: -6.664|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 29251 Episode Num: 117 Episode T: 250 Reward: 42.363|A_Loss: -6.666|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 29501 Episode Num: 118 Episode T: 250 Reward: 44.471|A_Loss: -6.659|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 29751 Episode Num: 119 Episode T: 250 Reward: 40.031|A_Loss: -6.661|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 30001 Episode Num: 120 Episode T: 250 Reward: 44.415|A_Loss: -6.659|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 30251 Episode Num: 121 Episode T: 250 Reward: 43.763|A_Loss: -6.656|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 30501 Episode Num: 122 Episode T: 250 Reward: 38.193|A_Loss: -6.659|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 30751 Episode Num: 123 Episode T: 250 Reward: 40.987|A_Loss: -6.655|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 31001 Episode Num: 124 Episode T: 250 Reward: 39.446|A_Loss: -6.646|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 31251 Episode Num: 125 Episode T: 250 Reward: 44.617|A_Loss: -6.644|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 31501 Episode Num: 126 Episode T: 250 Reward: 43.337|A_Loss: -6.639|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 31751 Episode Num: 127 Episode T: 250 Reward: 43.664|A_Loss: -6.633|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 32001 Episode Num: 128 Episode T: 250 Reward: 47.518|A_Loss: -6.637|C_Loss: 0.005|T_Loss: -0.000|T: 0.001
Total T: 32251 Episode Num: 129 Episode T: 250 Reward: 41.603|A_Loss: -6.635|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 32501 Episode Num: 130 Episode T: 250 Reward: 48.217|A_Loss: -6.633|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 32751 Episode Num: 131 Episode T: 250 Reward: 45.110|A_Loss: -6.633|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 33001 Episode Num: 132 Episode T: 250 Reward: 37.670|A_Loss: -6.630|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
